descricao_defeito_reclamado,descricao_defeito_constatado_diagnostico,descricao_defeito_constatado_ref
Não gela,Micromotor Condensador com Ruído,Micromotor Condensador com Ruído
SEM_INFORMACAO,Micromotor Condensador com Ruído,Micromotor Condensador com Ruído
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
Não gela,Micromotor Condensador Travado,Micromotor Condensador Travado
Ordem de Piso,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Micromotor Condensador Travado,Micromotor Condensador Travado
SEM_INFORMACAO,Hélice de Micromotor Condensador Quebrado,Hélice de Micromotor Condensador Quebrado
SEM_INFORMACAO,Hélice de Micromotor Condensador Quebrado,Hélice de Micromotor Condensador Quebrado
SEM_INFORMACAO,Hélice de Micromotor Condensador Quebrado,Hélice de Micromotor Condensador Quebrado
SEM_INFORMACAO,Hélice de Micromotor Condensador Quebrado,Hélice de Micromotor Condensador Quebrado
Ordem de Piso,Hélice de Micromotor Condensador Quebrado,Hélice de Micromotor Condensador Quebrado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
Ordem de Piso,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
Não gela,Micromotor Evaporador Queimado,Micromotor Evaporador Queimado
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
Não gela,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
Ordem de Piso,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador com Ruído,Micromotor Evaporador com Ruído
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Micromotor Evaporador Travado,Micromotor Evaporador Travado
Não gela,Micromotor Evaporador Travado,Micromotor Evaporador Travado
Ordem de Piso,Micromotor Evaporador Travado,Micromotor Evaporador Travado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
Não gela,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
Ordem de Piso,Hélice  de Micromotor Evaporador  Quebrado,Hélice  de Micromotor Evaporador  Quebrado
SEM_INFORMACAO,Gás Refrigerante Insuficiente,Gás Refrigerante Insuficiente
Ordem de Piso,Gás Refrigerante Insuficiente,Gás Refrigerante Insuficiente
SEM_INFORMACAO,Sem Gás Refrigerante,Sem Gás Refrigerante
Ordem de Piso,Sem Gás Refrigerante,Sem Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
Não gela,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
Ordem de Piso,Vazamento de Gás Refrigerante,Vazamento de Gás Refrigerante
SEM_INFORMACAO,Tubo Capilar Obstruído,Tubo Capilar Obstruído
SEM_INFORMACAO,Tubo Capilar Obstruído,Tubo Capilar Obstruído
SEM_INFORMACAO,Tubo Capilar Obstruído,Tubo Capilar Obstruído
SEM_INFORMACAO,Tubo Capilar Obstruído,Tubo Capilar Obstruído
SEM_INFORMACAO,Tubo Capilar Obstruído,Tubo Capilar Obstruído
Ordem de Piso,Tubo Capilar Obstruído,Tubo Capilar Obstruído
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
Ordem de Piso,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
Não gela,Sensor  de Temperatura com Defeito,Sensor  de Temperatura com Defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
Ordem de Piso,Controlador com defeito,Controlador com defeito
Outros,Controlador com defeito,Controlador com defeito
CONTROLADOR,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Controlador com defeito,Controlador com defeito
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
Ordem de Piso,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
Ordem de Piso,Termostato do Evaporador com defeito,Termostato do Evaporador com defeito
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Resistência do Evaporador queimado,Resistência do Evaporador queimado
Ordem de Piso,Resistência do Evaporador queimado,Resistência do Evaporador queimado
SEM_INFORMACAO,Capacitor do Condensador Queimado,Capacitor do Condensador Queimado
SEM_INFORMACAO,Capacitor do Condensador Queimado,Capacitor do Condensador Queimado
SEM_INFORMACAO,Capacitor do Condensador Queimado,Capacitor do Condensador Queimado
SEM_INFORMACAO,Capacitor do Condensador Queimado,Capacitor do Condensador Queimado
Ordem de Piso,Capacitor do Condensador Queimado,Capacitor do Condensador Queimado
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
Ordem de Piso,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
Dando choque,Cabo de alimentação com mau contato,Cabo de alimentação com mau contato
SEM_INFORMACAO,Plug quebrado,Plug quebrado
SEM_INFORMACAO,Plug quebrado,Plug quebrado
Ordem de Piso,Plug quebrado,Plug quebrado
Não gela,Plug quebrado,Plug quebrado
SEM_INFORMACAO,Plug desconectado,Plug desconectado
SEM_INFORMACAO,Plug desconectado,Plug desconectado
SEM_INFORMACAO,Plug desconectado,Plug desconectado
Ordem de Piso,Plug desconectado,Plug desconectado
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Cabo do Display com mau contato,Cabo do Display com mau contato
Ordem de Piso,Cabo do Display com mau contato,Cabo do Display com mau contato
SEM_INFORMACAO,Fusível do Termostato queimado,Fusível do Termostato queimado
Ordem de Piso,Fusível do Termostato queimado,Fusível do Termostato queimado
SEM_INFORMACAO,Relé queimado,Relé queimado
SEM_INFORMACAO,Relé queimado,Relé queimado
SEM_INFORMACAO,Relé queimado,Relé queimado
Ordem de Piso,Relé queimado,Relé queimado
SEM_INFORMACAO,Tomada do PDV com defeito,Tomada do PDV com defeito
SEM_INFORMACAO,Tomada do PDV com defeito,Tomada do PDV com defeito
SEM_INFORMACAO,Tomada do PDV com defeito,Tomada do PDV com defeito
Ordem de Piso,Tomada do PDV com defeito,Tomada do PDV com defeito
Outros,Tomada do PDV com defeito,Tomada do PDV com defeito
SEM_INFORMACAO,Tomada do PDV sem energia,Tomada do PDV sem energia
SEM_INFORMACAO,Tomada do PDV sem energia,Tomada do PDV sem energia
SEM_INFORMACAO,Tomada do PDV sem energia,Tomada do PDV sem energia
Ordem de Piso,Tomada do PDV sem energia,Tomada do PDV sem energia
SEM_INFORMACAO,Reator queimado,Reator queimado
SEM_INFORMACAO,Reator queimado,Reator queimado
SEM_INFORMACAO,Reator queimado,Reator queimado
SEM_INFORMACAO,Reator queimado,Reator queimado
SEM_INFORMACAO,Reator queimado,Reator queimado
SEM_INFORMACAO,Reator queimado,Reator queimado
Ordem de Piso,Reator queimado,Reator queimado
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Equipamento em curto,Equipamento em curto
Ordem de Piso,Equipamento em curto,Equipamento em curto
SEM_INFORMACAO,Interruptor de aleta com defeito,Interruptor de aleta com defeito
SEM_INFORMACAO,Interruptor de aleta com defeito,Interruptor de aleta com defeito
SEM_INFORMACAO,Interruptor de aleta com defeito,Interruptor de aleta com defeito
Não gela,Interruptor de aleta com defeito,Interruptor de aleta com defeito
Ordem de Piso,Interruptor de aleta com defeito,Interruptor de aleta com defeito
SEM_INFORMACAO,Protetor da Lâmpada com defeito,Protetor da Lâmpada com defeito
SEM_INFORMACAO,Protetor da Lâmpada com defeito,Protetor da Lâmpada com defeito
SEM_INFORMACAO,Protetor da Lâmpada com defeito,Protetor da Lâmpada com defeito
SEM_INFORMACAO,Protetor da Lâmpada com defeito,Protetor da Lâmpada com defeito
Ordem de Piso,Protetor da Lâmpada com defeito,Protetor da Lâmpada com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
Ordem de Piso,Fonte 12/24 V com defeito,Fonte 12/24 V com defeito
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento desnivelado,Equipamento desnivelado
Ordem de Piso,Equipamento desnivelado,Equipamento desnivelado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Equipamento em mau estado,Equipamento em mau estado
Ordem de Piso,Equipamento em mau estado,Equipamento em mau estado
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Prateleira com Defeito,Prateleira com Defeito
Ordem de Piso,Prateleira com Defeito,Prateleira com Defeito
Não gela,Prateleira com Defeito,Prateleira com Defeito
SEM_INFORMACAO,Falta Prateleira,Falta Prateleira
SEM_INFORMACAO,Falta Prateleira,Falta Prateleira
SEM_INFORMACAO,Falta Prateleira,Falta Prateleira
SEM_INFORMACAO,Falta Prateleira,Falta Prateleira
Ordem de Piso,Falta Prateleira,Falta Prateleira
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete quebrado,Gabinete quebrado
Ordem de Piso,Gabinete quebrado,Gabinete quebrado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Gabinete empenado,Gabinete empenado
Ordem de Piso,Gabinete empenado,Gabinete empenado
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
Ordem de Piso,Grade Traseira Inferior com defeito,Grade Traseira Inferior com defeito
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
Ordem de Piso,Grade Traseira Inferior Oxidada,Grade Traseira Inferior Oxidada
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
Ordem de Piso,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
Não gela,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
Não liga,Grade Frontal Veneziana quebrado,Grade Frontal Veneziana quebrado
SEM_INFORMACAO,Falta Grade Frontal Veneziana,Falta Grade Frontal Veneziana
Ordem de Piso,Falta Grade Frontal Veneziana,Falta Grade Frontal Veneziana
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
Ordem de Piso,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
Não gela,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Bandeja do Evaporador Danificada,Bandeja do Evaporador Danificada
SEM_INFORMACAO,Falta Bandeja do Evaporador,Falta Bandeja do Evaporador
SEM_INFORMACAO,Falta Bandeja do Evaporador,Falta Bandeja do Evaporador
Ordem de Piso,Falta Bandeja do Evaporador,Falta Bandeja do Evaporador
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
Ordem de Piso,Bandeja do Evaporador solta,Bandeja do Evaporador solta
Não gela,Bandeja do Evaporador solta,Bandeja do Evaporador solta
Bandeja interna solta,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Bandeja do Evaporador solta,Bandeja do Evaporador solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
Ordem de Piso,Moldura do Suporte do Display solta,Moldura do Suporte do Display solta
SEM_INFORMACAO,Caixa de Proteção do Display Superior solta,Caixa de Proteção do Display Superior solta
SEM_INFORMACAO,Caixa de Proteção do Display Superior solta,Caixa de Proteção do Display Superior solta
SEM_INFORMACAO,Caixa de Proteção do Display Superior solta,Caixa de Proteção do Display Superior solta
Ordem de Piso,Caixa de Proteção do Display Superior solta,Caixa de Proteção do Display Superior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
Ordem de Piso,Caixa de proteção do Controlador Inferior solta,Caixa de proteção do Controlador Inferior solta
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Equipamento sem problemas,Equipamento sem problemas
Ordem de Piso,Equipamento sem problemas,Equipamento sem problemas
SEM_INFORMACAO,Peça de equipamento absoleto,Peça de equipamento absoleto
SEM_INFORMACAO,Peça de equipamento absoleto,Peça de equipamento absoleto
SEM_INFORMACAO,Peça de equipamento absoleto,Peça de equipamento absoleto
Ordem de Piso,Peça de equipamento absoleto,Peça de equipamento absoleto
Não gela,Peça de equipamento absoleto,Peça de equipamento absoleto
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Equipamento Oxidado,Equipamento Oxidado
Ordem de Piso,Equipamento Oxidado,Equipamento Oxidado
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
Ordem de Piso,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Gaxeta Danificada,Gaxeta Danificada
Ordem de Piso,Gaxeta Danificada,Gaxeta Danificada
Não gela,Gaxeta Danificada,Gaxeta Danificada
SEM_INFORMACAO,Puxador da Porta Danificado,Puxador da Porta Danificado
